C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_24_824.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_24_824.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_24_824.jpg,0,0,0,9.87916E-06
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_24_919.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_24_919.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_24_919.jpg,0,0,0,3.616402E-06
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_25_030.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_25_030.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_25_030.jpg,0,0,0,8.830345E-07
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_25_133.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_25_133.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_25_133.jpg,0,0,0,3.80317E-06
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_25_237.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_25_237.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_25_237.jpg,0,0,0,6.389029E-06
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_25_342.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_25_342.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_25_342.jpg,0,0,0,2.572793E-06
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_25_453.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_25_453.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_25_453.jpg,0,0,0,4.962533E-06
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_25_562.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_25_562.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_25_562.jpg,0,0,0,7.199875E-06
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_25_667.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_25_667.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_25_667.jpg,0,0,0,4.074484E-06
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_25_772.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_25_772.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_25_772.jpg,0,0,0,2.243181E-05
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_25_896.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_25_896.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_25_896.jpg,0,0.3228636,0,0.3487315
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_26_012.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_26_012.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_26_012.jpg,0,0.6932826,0,1.207444
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_26_121.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_26_121.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_26_121.jpg,0,1,0,2.319399
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_26_307.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_26_307.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_26_307.jpg,0,1,0,4.671001
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_26_408.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_26_408.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_26_408.jpg,0,1,0,5.830185
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_26_494.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_26_494.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_26_494.jpg,0,1,0,6.749492
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_26_572.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_26_572.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_26_572.jpg,0,1,0,7.661658
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_26_671.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_26_671.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_26_671.jpg,0,1,0,8.791898
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_26_788.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_26_788.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_26_788.jpg,0,1,0,10.13363
C:\Users\Atilla\Desktop\IMG\center_2021_07_04_19_09_26_898.jpg,C:\Users\Atilla\Desktop\IMG\left_2021_07_04_19_09_26_898.jpg,C:\Users\Atilla\Desktop\IMG\right_2021_07_04_19_09_26_898.jpg,0,1,0,11.23963
